TestID,AvgCost,MinCost,MaxCost,AvgTime,MinTime,MaxTime,SuccessRate
tuning_bl_1,394.00,394,394,5.9656,4.5869,8.6130,100%
tuning_1_1_2,394.00,394,394,60.1042,60.0854,60.1188,100%
tuning_1_1_1,394.00,394,394,60.1182,60.0854,60.1439,100%
tuning_1_1_3,394.00,394,394,60.1428,60.0951,60.2350,100%
tuning_1_1_4,394.00,394,394,60.0697,60.0360,60.1113,100%
tuning_1_1_6,394.00,394,394,60.0423,60.0138,60.0683,100%
tuning_1_1_5,394.00,394,394,60.0920,60.0243,60.1297,100%
tuning_1_1_7,394.00,394,394,60.1370,60.1123,60.1559,100%
tuning_1_1_8,394.00,394,394,60.1059,60.0440,60.1434,100%
tuning_1_1_9,394.00,394,394,60.0626,60.0096,60.1154,100%
tuning_1_1_10,397.33,394,404,60.1716,60.0609,60.3321,100%
tuning_1_2_1,394.00,394,394,60.2287,60.0859,60.3599,100%
tuning_1_2_2,397.33,394,404,60.1734,60.0769,60.2671,100%
tuning_1_2_3,394.00,394,394,60.1301,60.1094,60.1589,100%
tuning_1_2_4,394.00,394,394,60.2032,60.0750,60.3099,100%
tuning_1_2_5,397.33,394,404,60.2248,60.1630,60.2833,100%
tuning_1_2_6,394.00,394,394,60.1571,60.0659,60.2749,100%
tuning_1_2_7,394.00,394,394,60.1193,60.0415,60.2225,100%
tuning_1_2_8,394.00,394,394,60.1005,60.0469,60.2007,100%
tuning_1_2_9,400.67,394,404,60.1286,60.0342,60.2270,100%
tuning_1_2_10,400.67,394,404,60.0981,60.0115,60.2650,100%
tuning_1_4_1,404.00,404,404,60.3631,60.0761,60.5129,100%
tuning_1_4_2,394.00,394,394,60.1837,60.0853,60.2811,100%
tuning_1_4_3,397.33,394,404,60.1812,60.0144,60.3579,100%
tuning_1_4_4,394.00,394,394,60.3479,60.0568,60.5438,100%
tuning_1_4_6,397.33,394,404,60.2481,60.1245,60.3851,100%
tuning_1_4_5,397.33,394,404,60.4694,60.4368,60.5105,100%
tuning_1_4_7,394.00,394,394,60.2683,60.1243,60.5059,100%
tuning_1_4_8,404.00,404,404,60.4678,60.2201,60.5973,100%
tuning_1_4_9,397.33,394,404,60.3192,60.0483,60.5415,100%
tuning_1_4_10,400.67,394,404,60.2612,60.0014,60.6096,100%
tuning_1_8_1,404.00,404,404,60.6099,60.5298,60.7633,100%
tuning_1_8_2,397.33,394,404,60.3899,60.0554,60.8258,100%
tuning_1_8_3,400.67,394,404,60.4542,60.1316,60.6747,100%
tuning_1_8_4,397.33,394,404,60.5175,60.2028,60.8597,100%
tuning_1_8_5,397.33,394,404,60.4427,60.3341,60.6204,100%
tuning_1_8_6,404.00,394,414,60.4171,60.2520,60.6402,100%
tuning_1_8_7,397.33,394,404,60.4741,60.0512,60.8368,100%
tuning_1_8_8,400.67,394,404,60.6278,60.2389,60.8677,100%
tuning_1_8_9,404.00,394,414,60.4466,60.2718,60.6035,100%
tuning_1_8_10,404.00,404,404,60.5104,60.2566,60.7537,100%
